Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality,Authority,Hub
80816781,,,2,4,5,0.305821,0.317282,0,5,0.001515,0,1,1,0.009381,0.002446,0.002446
23757424,,,1,1,6,0.258824,0.26785,0,3,0.000787,0,0,0,0.002003,0.000443,0.000443
260581939,,,1,2,6,0.270146,0.279924,0,2,0.001252,0,0,0,0.002316,0.000539,0.000539
2224896846,,,1,1,6,0.215422,0.221638,0,1,0.001269,0,0,0,0.000607,0.00003,0.00003
13501122,,,1,2,6,0.276078,0.286316,0,5,0.001266,0,0,0,0.003001,0.000691,0.000691
22348141,,,1,1,5,0.291874,0.302131,0,5,0.000679,0,0,0,0.005262,0.001371,0.001371
13857342,,,45,0.237197,5,0.453608,0.510511,0.067442,1,0.002735,0,0.074747,74,0.382912,0.108974,0.108974
930620467,,,37,0.16442,4,0.436725,0.488873,0.034766,4,0.000847,0,0.12012,80,0.368093,0.105686,0.105686
26248642,,,1,0.002695,5,0.274571,0.285748,0,1,0.000427,0,0,0,0.005349,0.001427,0.001427
3019474338,,,1,0.002695,6,0.26506,0.274953,0,6,0.000427,0,0,0,0.001865,0.000397,0.000397
266723506,,,1,0.002695,5,0.278481,0.289536,0,6,0.000428,0,0,0,0.003536,0.000857,0.000857
280974913,,,1,0.002695,5,0.308231,0.318277,0,4,0.000426,0,0,0,0.010508,0.003058,0.003058
72971775,,,1,0.002695,5,0.307962,0.317472,0,4,0.000426,0,0,0,0.00954,0.002756,0.002756
33803412,,,3,0.008086,5,0.323529,0.341193,0.005733,1,0.001071,0,0,0,0.020732,0.00564,0.00564
22029787,,,1,0.002695,6,0.312334,0.329167,0,1,0.000451,0,0,0,0.015661,0.004346,0.004346
569586545,,,1,0.002695,6,0.312334,0.329167,0,1,0.000451,0,0,0,0.015661,0.004346,0.004346
2969344940,,,1,0.002695,6,0.312334,0.329167,0,1,0.000451,0,0,0,0.015661,0.004346,0.004346
2953604840,,,1,0.002695,6,0.312334,0.329167,0,1,0.000451,0,0,0,0.015661,0.004346,0.004346
2675563262,,,1,0.002695,6,0.312334,0.329167,0,1,0.000451,0,0,0,0.015661,0.004346,0.004346
3023378215,,,1,0.002695,6,0.259205,0.269744,0,7,0.000426,0,0,0,0.00329,0.000787,0.000787
2951881910,,,1,0.002695,5,0.335878,0.351042,0,1,0.000425,0,0,0,0.027834,0.0082,0.0082
2930199847,,,1,0.002695,6,0.262295,0.271354,0,7,0.000427,0,0,0,0.001818,0.000352,0.000352
814476685,,,1,0.002695,6,0.290669,0.304261,0,2,0.000427,0,0,0,0.007982,0.002135,0.002135
476350851,,,1,0.002695,6,0.282504,0.292945,0,6,0.000426,0,0,0,0.004112,0.00107,0.00107
3079113053,,,1,0.002695,6,0.244614,0.252652,0,1,0.000729,0,0,0,0.001276,0.000225,0.000225
2601647804,,,1,0.002695,5,0.304235,0.320218,0,4,0.000437,0,0,0,0.014798,0.004215,0.004215
