Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
2344987903,,,1,1,5,0.311873,0.322386,0,0.00226,0.00226,0,0.00029,0,0,0,0.009235
943210460,,,6,4.008086,5,0.348435,0.364254,0.000024,0.015142,0.015142,8,0.000481,0,0.2,3,0.057045
292419947,,,1,1,5,0.318124,0.335009,0,0.003439,0.003439,9,0.000296,0,0,0,0.014785
181150518,,,1,1,5,0.318124,0.335009,0,0.003439,0.003439,9,0.000296,0,0,0,0.014785
814476685,,,5,7.002695,5,0.338629,0.357819,0.00011,0.009147,0.009147,2,0.000705,0,0.1,1,0.035882
26326439,,,2,2,5,0.305112,0.315192,0.000002,0.002248,0.002248,0,0.000373,0,0,0,0.009299
34153781,,,5,9,6,0.305863,0.318164,0.002832,0.002984,0.002984,0,0.001372,0,0.2,2,0.013352
286070167,,,2,2,6,0.290385,0.300492,0.000004,0.001053,0.001053,1,0.000384,0,0,0,0.00463
561596765,,,2,3,5,0.312526,0.325268,0.000004,0.003981,0.003981,3,0.000418,0,0,0,0.015487
24452267,,,2,3,5,0.280135,0.291823,0.000022,0.001121,0.001121,14,0.000632,0,0,0,0.005118
82241907,,,3,4,5,0.300201,0.312511,0.000053,0.001754,0.001754,4,0.000713,0,0.333333,1,0.008027
40198526,,,1,1,5,0.279087,0.289902,0,0.001006,0.001006,3,0.000292,0,0,0,0.00433
478304315,,,1,2,6,0.263418,0.271537,0,0.000298,0.000298,10,0.000451,0,0,0,0.001426
262389370,,,3,3,5,0.341575,0.356077,0.000011,0.008659,0.008659,2,0.000427,0,0,0,0.033222
127025784,,,2,2,5,0.294512,0.303865,0.000008,0.000948,0.000948,9,0.000466,0,0,0,0.004425
162327572,,,5,6,5,0.374874,0.396761,0.000219,0.016228,0.016228,4,0.000702,0,0.3,3,0.065769
1907609012,,,3,3,5,0.354731,0.374419,0.000244,0.008259,0.008259,4,0.000523,0,0,0,0.033633
600152232,,,3,5,5,0.308264,0.320956,0.002666,0.003022,0.003022,6,0.000844,0,0,0,0.012028
368273781,,,1,2,6,0.235703,0.24151,0,0.000088,0.000088,6,0.000487,0,0,0,0.000658
133926093,,,1,1,5,0.288365,0.299218,0,0.001103,0.001103,9,0.000292,0,0,0,0.004824
425480166,,,2,3,5,0.288588,0.300112,0.002652,0.001104,0.001104,9,0.000891,0,0,0,0.005152
47368893,,,2,2.002695,5,0.305487,0.320085,0.002652,0.002223,0.002223,15,0.001338,0,0,0,0.00962
2571856887,,,1,2,6,0.234076,0.240773,0,0.000065,0.000065,15,0.001336,0,0,0,0.000594
1261319822,,,1,1,7,0.234296,0.23987,0,0.000087,0.000087,0,0.000329,0,0,0,0.000733
112959280,,,3,3,5,0.3473,0.367404,0.000003,0.012144,0.012144,2,0.000423,0,0.666667,2,0.046308
1289990616,,,2,3,6,0.261113,0.269325,0,0.000309,0.000309,3,0.000559,0,1,1,0.002076
