source,target,weight_follow,retweet_weight,weight,user_info
340376505,573614242,1.0,0.0,1.0,follow
340376505,1059207842,1.0,0.0,1.0,follow
340376505,752078492,1.0,0.0,1.0,follow
340376505,14711982,1.0,0.0,1.0,follow
340376505,543218867,1.0,0.0,1.0,follow
340376505,43830965,1.0,0.0,1.0,follow
340376505,1955720384,1.0,0.0,1.0,follow
340376505,239964366,1.0,0.0,1.0,follow
340376505,220616405,1.0,0.0,1.0,follow
340376505,162266849,1.0,0.0,1.0,follow
340376505,169833243,1.0,0.0,1.0,follow
340376505,2797758762,1.0,0.0,1.0,follow
340376505,2650794800,1.0,0.0,1.0,follow
340376505,714051386,1.0,0.0,1.0,follow
340376505,2949949244,1.0,0.0,1.0,follow
340376505,138294089,1.0,0.0,1.0,follow
340376505,131179888,1.0,0.0,1.0,follow
340376505,907734912,1.0,0.0,1.0,follow
340376505,79459832,1.0,0.0,1.0,follow
340376505,359236505,1.0,0.0,1.0,follow
340376505,64980891,1.0,0.0,1.0,follow
340376505,719655337,1.0,0.0,1.0,follow
340376505,33894316,1.0,0.0,1.0,follow
340376505,39935935,1.0,0.0,1.0,follow
340376505,365105604,1.0,0.0,1.0,follow
340376505,2831363550,1.0,0.0,1.0,follow
340376505,526411749,1.0,0.0,1.0,follow
340376505,482583016,1.0,0.0,1.0,follow
340376505,2294201833,1.0,0.0,1.0,follow
340376505,2483605494,1.0,0.0,1.0,follow
340376505,436502521,1.0,0.0,1.0,follow
340376505,599745022,1.0,0.0,1.0,follow
1580228064,20644420,1.0,0.0,1.0,follow
1580228064,187138183,1.0,0.0,1.0,follow
1580228064,169326150,1.0,0.0,1.0,follow
1580228064,86277690,1.0,0.0,1.0,follow
1580228064,169833243,1.0,0.0,1.0,follow
1580228064,714051386,1.0,0.0,1.0,follow
1580228064,2105021,1.0,0.0,1.0,follow
1580228064,599745022,1.0,0.0,1.0,follow
365105604,20644420,1.0,0.0,1.0,follow
365105604,1913262020,1.0,0.0,1.0,follow
365105604,2294201833,1.0,0.0,1.0,follow
365105604,347048522,1.0,0.0,1.0,follow
365105604,23053753,1.0,0.0,1.0,follow
365105604,340376505,1.0,0.0,1.0,follow
365105604,590023803,1.0,0.0,1.0,follow
43830965,1580228064,1.0,0.0,1.0,follow
