source,target,weight_follow,retweet_weight,weight,user_info
709105290,1849850612,1.0,0.0,1.0,follow
709105290,590023803,1.0,0.0,1.0,follow
2313204931,144840737,1.0,0.0,1.0,follow
2313204931,556661091,1.0,0.0,1.0,follow
2313204931,20644420,1.0,0.0,1.0,follow
2313204931,25227822,1.0,0.0,1.0,follow
2313204931,14711982,1.0,0.0,1.0,follow
2313204931,55566167,1.0,0.0,1.0,follow
2313204931,21848593,1.0,0.0,1.0,follow
2313204931,3006153780,1.0,0.0,1.0,follow
2313204931,9609622,1.0,0.0,1.0,follow
2313204931,236242644,1.0,0.0,1.0,follow
2313204931,1093638847,1.0,0.0,1.0,follow
1333946204,1131146245,1.0,0.0,1.0,follow
108241254,2831363550,1.0,0.0,1.0,follow
108241254,2710541450,1.0,0.0,1.0,follow
108241254,170276973,1.0,0.0,1.0,follow
108241254,3063966541,1.0,0.0,1.0,follow
108241254,3017288564,1.0,0.0,1.0,follow
108241254,359236505,1.0,0.0,1.0,follow
108241254,3017002076,1.0,0.0,1.0,follow
108241254,99233470,1.0,0.0,1.0,follow
2273632160,15641984,1.0,0.0,1.0,follow
2273632160,346491432,1.0,0.0,1.0,follow
2273632160,2710541450,1.0,0.0,1.0,follow
2273632160,82184658,1.0,0.0,1.0,follow
2273632160,1690890258,1.0,0.0,1.0,follow
2273632160,2459169938,1.0,0.0,1.0,follow
98896743,20644420,1.0,0.0,1.0,follow
1946156508,2878701780,1.0,0.0,1.0,follow
144840737,2360323201,1.0,0.0,1.0,follow
144840737,22859657,1.0,0.0,1.0,follow
144840737,9609622,1.0,0.0,1.0,follow
144840737,2385999008,1.0,0.0,1.0,follow
144840737,2455918632,1.0,0.0,1.0,follow
144840737,19440175,1.0,0.0,1.0,follow
144840737,14711982,1.0,0.0,1.0,follow
144840737,22310197,1.0,0.0,1.0,follow
144840737,1093638847,1.0,0.0,1.0,follow
144840737,17569860,1.0,0.0,1.0,follow
144840737,20644420,1.0,0.0,1.0,follow
144840737,2313204931,1.0,0.0,1.0,follow
144840737,41973345,1.0,0.0,1.0,follow
144840737,31103336,1.0,0.0,1.0,follow
144840737,471589631,1.0,0.0,1.0,follow
74418780,590023803,1.0,0.0,1.0,follow
74418780,20644420,1.0,0.0,1.0,follow
74418780,99233470,1.0,0.0,1.0,follow
180755998,14707553,1.0,0.0,1.0,follow
180755998,23747654,1.0,0.0,1.0,follow
180755998,347048522,1.0,0.0,1.0,follow
180755998,19178668,1.0,0.0,1.0,follow
180755998,26927867,1.0,0.0,1.0,follow
180755998,2281363548,1.0,0.0,1.0,follow
769193119,711802766,1.0,0.0,1.0,follow
769193119,99233470,1.0,0.0,1.0,follow
769193119,1116121759,1.0,0.0,1.0,follow
342069311,20644420,1.0,0.0,1.0,follow
34472348,229376260,1.0,0.0,1.0,follow
34472348,19178668,1.0,0.0,1.0,follow
34472348,170276973,1.0,0.0,1.0,follow
34472348,885751759,1.0,0.0,1.0,follow
34472348,480300122,1.0,0.0,1.0,follow
34472348,590023803,1.0,0.0,1.0,follow
232728981,31076291,1.0,0.0,1.0,follow
232728981,2294201833,1.0,0.0,1.0,follow
232728981,238768817,1.0,0.0,1.0,follow
232728981,340376505,1.0,0.0,1.0,follow
232728981,2322065402,1.0,0.0,1.0,follow
162266849,2360323201,1.0,0.0,1.0,follow
162266849,19580931,1.0,0.0,1.0,follow
162266849,2710541450,1.0,0.0,1.0,follow
162266849,2459169938,1.0,0.0,1.0,follow
162266849,2959270807,1.0,0.0,1.0,follow
162266849,359236505,1.0,0.0,1.0,follow
162266849,60572195,1.0,0.0,1.0,follow
162266849,1532819112,1.0,0.0,1.0,follow
162266849,14711982,1.0,0.0,1.0,follow
162266849,546641586,1.0,0.0,1.0,follow
162266849,340376505,1.0,0.0,1.0,follow
162266849,23053753,1.0,0.0,1.0,follow
162266849,22871737,1.0,0.0,1.0,follow
162266849,714051386,1.0,0.0,1.0,follow
162266849,1955720384,1.0,0.0,1.0,follow
